estatura_cm,peso_kg,talla_label
188,106,2
178,82,2
164,102,4
192,71,0
157,70,2
170,55,0
188,55,0
168,104,4
172,97,3
160,53,1
160,79,3
173,60,1
185,79,1
189,80,1
173,73,1
152,104,5
171,58,0
151,104,5
173,52,0
193,100,2
179,80,1
187,89,2
151,86,4
170,85,2
182,73,1
161,80,3
171,55,0
193,51,0
174,69,1
198,77,0
176,60,0
191,53,0
177,64,1
165,55,1
164,103,4
196,98,2
193,79,1
152,105,5
186,87,2
156,100,5
170,106,4
158,51,1
188,64,0
167,60,1
153,57,1
174,75,1
163,100,4
199,94,1
158,93,4
175,54,0
151,55,1
169,75,2
177,103,3
196,53,0
156,68,2
193,69,0
157,82,3
196,69,0
184,98,2
163,61,1
166,96,3
185,50,0
199,75,0
189,63,0
153,87,4
151,86,4
155,60,1
191,85,1
153,62,2
178,92,2
167,52,0
175,82,2
193,55,0
183,99,2
159,105,5
185,59,0
163,54,1
180,72,1
197,59,0
164,93,3
157,51,1
163,62,1
172,89,3
189,51,0
170,69,1
165,50,0
194,86,1
167,58,1
196,66,0
173,58,0
175,60,0
174,64,1
194,73,0
190,87,1
178,104,3
164,84,3
194,79,1
150,80,4
174,98,3
156,54,1
158,109,5
173,93,3
150,99,5
193,63,0
157,102,5
173,105,4
160,60,1
166,58,1
157,83,3
184,61,0
184,84,1
182,84,2
154,50,1
191,89,1
188,71,1
190,109,3
177,78,1
156,57,1
158,60,1
157,90,4
161,86,3
183,63,0
182,109,3
197,79,1
172,84,2
173,70,1
186,86,1
184,54,0
193,68,0
189,108,3
171,63,1
176,75,1
184,53,0
150,74,3
184,94,2
186,91,2
196,74,0
163,67,2
152,89,4
150,57,2
154,88,4
175,89,2
163,63,1
188,81,1
176,100,3
158,87,3
164,82,3
164,72,2
175,64,1
191,82,1
162,74,2
181,66,1
188,82,1
198,96,1
181,104,3
153,51,1
179,63,0
186,102,2
172,89,3
188,89,2
194,100,2
164,88,3
192,100,2
178,55,0
185,55,0
162,52,0
181,56,0
156,100,5
171,57,0
177,91,2
151,101,5
191,64,0
194,96,2
155,78,3
177,82,2
177,101,3
193,79,1
193,88,1
169,76,2
179,85,2
160,78,3
177,87,2
174,106,4
188,82,1
182,86,2
150,76,3
176,104,3
162,82,3
190,53,0
152,71,3
188,51,0
155,59,1
157,54,1
176,108,3
158,59,1
186,82,1
182,103,3
191,87,1
193,62,0
173,80,2
164,96,4
181,85,2
181,94,2
173,73,1
190,101,2
198,105,2
198,64,0
161,78,3
188,57,0
151,54,1
152,78,3
198,96,1
186,53,0
198,61,0
166,94,3
198,51,0
151,76,3
151,80,4
177,100,3
172,100,3
